gage_id,gage_name,gage_latitude,gage_longitude
02313200,"WITHLACOOCHEE RIVER AT US 41 AT DUNNELLON, FL",29.04610203,-82.46458822
02319394,"WITHLACOOCHEE RIVER NR LEE, FLA",30.41049435,-83.18013979
02319500,"SUWANNEE RIVER AT ELLAVILLE, FLA",30.38466196,-83.1718058
02319800,"SUWANNEE RIVER AT DOWLING PARK, FLORIDA",30.2449425,-83.24958439
02320000,"SUWANNEE RIVER AT LURAVILLE, FLA.",30.09994513,-83.1715247
02320500,"SUWANNEE RIVER AT BRANFORD, FLA.",29.955785,-82.9276278
02323000,"SUWANNEE RIVER NEAR BELL, FLORIDA",29.79134359,-82.924293
02323500,"SUWANNEE RIVER NEAR WILCOX, FLA.",29.58968017,-82.9365131
02330000,"OCHLOCKONEE RIVER NR BLOXHAM, FLA.",30.38325266,-84.6549109
02330150,"OCHLOCKONEE RIVER NR SMITH CREEK, FLA.",30.17658934,-84.6679637
02334430,"CHATTAHOOCHEE RIVER AT BUFORD DAM, NEAR BUFORD, GA",34.15666667,-84.0784167
02334500,"CHATTAHOOCHEE RIVER NEAR BUFORD, GA",34.1261111,-84.09338889
02334653,CHATTAHOOCHEE R 0.76 MI US MCGINNIS FY SUWANEE GA,34.0567222,-84.1083333
02335000,"CHATTAHOOCHEE RIVER NEAR NORCROSS, GA",33.9972222,-84.2019444
02335450,"CHATTAHOOCHEE RIVER ABOVE ROSWELL, GA",33.98580556,-84.3156944
02335880,"CHATT R AT POWERS FY AND I-285 NR ATLANTA, GA",33.9019722,-84.4430278
02335990,"CHATTAHOOCHEE RIVER AT US 41, AT ATLANTA, GA",33.86766667,-84.4541111
02336000,"CHATTAHOOCHEE RIVER AT ATLANTA, GA",33.85916667,-84.4544444
02336490,"CHATTAHOOCHEE RIVER AT GA 280, NEAR ATLANTA, GA",33.81741667,-84.4803333
02337170,"CHATTAHOOCHEE RIVER NEAR FAIRBURN, GA",33.65666667,-84.6736111
02337260,"CHATTAHOOCHEE RIVER ABOVE BEAR CR, NEAR RICO, GA",33.61716667,-84.7605
02338000,"CHATTAHOOCHEE RIVER NEAR WHITESBURG, GA",33.47652778,-84.9011944
02338500,"CHATTAHOOCHEE RIVER AT GA 100, AT FRANKLIN, GA",33.2779722,-85.1009167
02339500,"CHATTAHOOCHEE RIVER AT WEST POINT, GA",32.88663889,-85.1815833
02341460,"CHATTAHOOCHEE RIVER AT 14TH ST, AT COLUMBUS, GA",32.47277778,-84.9966667
02342881,"CHATTAHOOCHEE RIVER AT SPUR 39, NEAR OMAHA, GA",32.14066667,-85.04938889
02344872,"FLINT RIVER BELOW BIG BRANCH, NEAR MOLENA, GA",33.04769444,-84.52663889
02346180,"FLINT RIVER NEAR THOMASTON, GA",32.8385,-84.42425
02347500,"FLINT RIVER AT US 19, NEAR CARSONVILLE, GA",32.72219444,-84.2324167
02349605,"FLINT RIVER AT GA 26, NEAR MONTEZUMA, GA",32.29305556,-84.0436111
02350512,"FLINT RIVER AT GA 32, NEAR OAKFIELD, GA",31.725,-84.0186111
02352500,"FLINT RIVER AT ALBANY, GA",31.59416667,-84.1441667
02353000,"FLINT RIVER AT NEWTON, GA",31.30694444,-84.33888889
02355350,"ICHAWAYNOCHAWAY CREEK BELOW NEWTON, GA",31.21680556,-84.4701667
02355662,"FLINT RIVER AT RIVERVIEW PLANTATION, NR HOPEFUL,GA",31.14055556,-84.4809722
02356000,"FLINT RIVER AT BAINBRIDGE, GA",30.91030556,-84.5805
02357700,"APALACHICOLA RIVER BL WOODRUFF DAM, NR SNEADS, FL",30.70405,-84.8632556
02358000,APALACHICOLA RIVER AT CHATTAHOOCHEE FLA,30.7010251,-84.8590871
02358700,"APALACHICOLA RIVER NR BLOUNTSTOWN,FLORIDA",30.42519625,-85.0313059
02358754,"APALACHICOLA R.AB CHIPOLA CUTOFF NR WEWAHITCHKA,FL",30.1322611,-85.1420111
02359170,"APALACHICOLA RIVER NR SUMATRA,FLA.",29.94937094,-85.0154686
02359223,"JACKSON RIVER AT RANCH ROAD NR APALACHICOLA, FL",29.7695111,-85.0842806
02361500,CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL,31.15934229,-85.7843789
02362000,"CHOCTAWHATCHEE RIVER NEAR GENEVA, ALABAMA",31.0412902,-85.8521574
02364500,PEA RIVER NEAR SAMSON AL,31.11267588,-86.0993868
02365200,"CHOCTAWHATCHEE RIVER NR PITTMAN, FLA.",30.94990438,-85.84299
02365500,"CHOCTAWHATCHEE RIVER AT CARYVILLE, FLA.",30.77574389,-85.827711
02366500,"CHOCTAWHATCHEE RIVER NR BRUCE, FLA.",30.4510296,-85.89826819
02372430,"CONECUH RIVER AT RIVER FALLS, ALABAMA",31.34822474,-86.5294047
02374250,"CONECUH RIVER AT STATE HWY 41 NEAR BREWTON, AL.",31.06715578,-87.0616644
02374700,"MURDER CREEK AT STATE HWY 41 AT BREWTON, AL.",31.10101137,-87.06885829
02375500,"ESCAMBIA RIVER NEAR CENTURY, FL",30.96518304,-87.2341395
02376033,"ESCAMBIA RIVER NR MOLINO, FLA.",30.6701917,-87.2669179
02387000,"CONASAUGA RIVER AT TILTON, GA",34.66691667,-84.9279167
02387010,"CONASAUGA RIVER AT SLOAN BRIDGE, BELOW DALTON, GA",34.62925,-84.9171944
02387500,"OOSTANAULA RIVER AT RESACA, GA",34.5775,-84.9419167
