reach_id,n_gauges,upstream_gauge_id,onreach_gauge_id,downstream_gauge_id,max_span_km,river_name,lat,lon,fimbench_id,fimbench_tier,n_fimbench,fimbench_huc8,up_dist_km,dn_dist_km,all_gauge_ids,swot_obs,mean_width_m,iris_slope_m_per_m,iris_slope_source,hand_runnable,has_iris,full_stack
74270800031,2,07019130,,07019210,6.03,Meramec River,38.5408,-90.47589,HWM/HWM_20151226_20160105_902656W383031N/HWM_10_0m_20151226_20160105_902656W383031N_BM,HWM,1,07140102,0.0,-0.0,07019210;07019130,2,80.0,0.0001482431589099,1_iris_v2.6,True,True,True
74291900061,2,06894650,06895500,,47.84,Missouri River,39.23428,-93.50248,Tier_3/S1A_20190716T00124_933633W391434N/S1A_8_8m_20190716T00124_933633W391434N_BM,Tier_3,1,10300101,54.05,,06894650;06895500,2,351.0,7.26739596630928e-05,1_iris_v2.6,True,True,True
74291900071,2,06894650,,06895500,47.84,Missouri River,39.23062,-93.59084,Tier_3/S1A_20190716T00124_933633W391434N/S1A_8_8m_20190716T00124_933633W391434N_BM,Tier_3,1,10300101,43.67,10.39,06894650;06895500,2,327.0,0.0001629537482947,1_iris_v2.6,True,True,True
74291900081,2,06894650,,06895500,47.84,Missouri River,39.21796,-93.70088,Tier_3/S1A_20190716T00124_933633W391434N/S1A_8_8m_20190716T00124_933633W391434N_BM,Tier_3,1,10300101,32.07,21.99,06894650;06895500,2,360.0,0.0001520423796198,1_iris_v2.6,True,True,True
74291900091,2,06894650,,06895500,47.84,Missouri River,39.20763,-93.82095,Tier_3/S1A_20190716T00124_933633W391434N/S1A_8_8m_20190716T00124_933633W391434N_BM,Tier_3,1,10300101,20.5,33.56,06894650;06895500,2,321.0,0.0001428692133245,1_iris_v2.6,True,True,True
74293300051,2,06818000,,06818300,30.79,Missouri River,39.58592,-95.07066,Tier_3/S1A_20190615T00210_945942W393150N/S1A_9_0m_20190615T00210_945942W393150N_BM,Tier_3,1,10240011;10270104,31.69,10.45,06818000;06818300,2,270.0,0.0001922122379271,1_iris_v2.6,True,True,True
74293700011,2,06810070,06813500,,43.43,Missouri River,40.03072,-95.39553,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,53.82,,06810070;06813500,2,240.0,0.0001991250493718,1_iris_v2.6,True,True,True
74293700021,2,06810070,,06813500,43.43,Missouri River,40.15713,-95.43502,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,35.36,18.46,06810070;06813500,2,225.0,0.0001881934073092,1_iris_v2.6,True,True,True
74293700031,2,06810070,,06813500,43.43,Missouri River,40.24936,-95.52466,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,21.44,32.38,06810070;06813500,2,225.0,0.0002340249439794,1_iris_v2.6,True,True,True
74295200041,2,06485500,,06485910,23.9,Big Sioux River,42.66097,-96.55705,Tier_3/S1A_20190919T00215_963409W424227N/S1A_9_1m_20190919T00215_963409W424227N_BM;Tier_2/PSS_20190919T165541_963700W424518N/PSS_1_0m_20190919T165541_963700W424518N_BM,Tier_3;Tier_2,2,10170203,42.78,11.33,06485500;06485910,2,42.0,0.0002029230206015,1_iris_v2.6,True,True,True
